#station,X,Y,Z
dsa-0102,-2038688.9499339678,-4484846.358857782,4040135.73366599
dsa-0103,-2038452.9769583193,-4483811.492665387,4041394.8091943082
dsa-0104,-2034811.5719812848,-4485648.634534706,4041192.374316469
dsa-0105,-2037793.7203651906,-4486165.316694151,4039129.766272206
dsa-0106,-2035903.8901029343,-4483536.40305702,4042974.2560730493
dsa-0107,-2037188.3123966726,-4483108.485570777,4042803.008749731
dsa-0108,-2036607.9952053304,-4486942.289412883,4038866.769235021
dsa-0109,-2034692.7837767259,-4484950.765865062,4042021.243553083
dsa-0110,-2035464.6817870587,-4491865.943166923,4033999.1472656797
dsa-0111,-2037576.722580387,-4483189.047137805,4042519.7381446785
dsa-0112,-2038737.9905386947,-4485294.782338357,4039616.7956453306
dsa-0113,-2037951.4520589444,-4483844.803533289,4041609.1646382897
dsa-0114,-2034562.743205406,-4484445.2603445295,4042643.6658623917
dsa-0115,-2036100.1642971844,-4486917.30369078,4039148.5536379423
dsa-0116,-2035451.8610168614,-4486920.034100868,4039470.106334989
dsa-0117,-2037052.5214570796,-4483449.201964501,4042495.3507672627
dsa-0118,-2035053.414217413,-4483753.747344961,4043160.411681803
dsa-0119,-2037597.6324971525,-4487381.837015986,4037884.848917936
dsa-0120,-2038145.490032088,-4485994.996496406,4039141.436159782
dsa-0121,-2037807.7283565574,-4483226.2078115055,4042363.1190699716
dsa-0122,-2038818.5000201245,-4484488.957051096,4040464.911692065
dsa-0123,-2036149.4854571172,-4487000.319860815,4039032.3364900565
dsa-0124,-2038630.0274449945,-4485677.011913244,4039249.437827906
dsa-0125,-2038034.1007358267,-4483556.107611592,4041886.074932101
dsa-0126,-2036821.795456956,-4483135.195088679,4042957.0525388904
dsa-0127,-2034174.270111963,-4479103.772420748,4048714.401627582
dsa-0128,-2037535.9291665596,-4486821.231385744,4038535.679901659
dsa-0129,-2038843.0363731855,-4484141.195966021,4040836.0343238153
dsa-0130,-2038049.8986742867,-4483276.494522246,4042186.43919334
dsa-0131,-2035816.4817603182,-4483650.644563016,4042892.064514786
dsa-0132,-2037656.6506744816,-4486684.522278511,4038625.964257027
dsa-0133,-2035318.9786519562,-4490433.914565564,4035655.4735296452
dsa-0134,-2034912.6499880606,-4486569.697901142,4040126.2994036092
dsa-0135,-2038873.0967221085,-4485054.597259607,4039813.960729278
dsa-0136,-2037878.135627593,-4486468.96771339,4038752.730025279
dsa-0137,-2036965.483088346,-4487025.108224169,4038596.4907893823
dsa-0138,-2036369.7723936639,-4487061.365440607,4038854.7505421625
dsa-0139,-2034650.4811231035,-4486474.374062314,4040362.64464762
dsa-0140,-2038474.4018038907,-4486060.487532668,4038904.567761568
dsa-0141,-2036423.9166673108,-4483161.8267139895,4043126.883027858
dsa-0142,-2038442.6837582604,-4483332.216142589,4041928.364387876
dsa-0143,-2038848.6729747064,-4484519.443666951,4040416.194596119
dsa-0144,-2038736.4286929748,-4485861.984577356,4038992.237449972
dsa-0145,-2034756.9387095443,-4484363.05553217,4042637.0756516615
dsa-0146,-2038302.168007934,-4486600.244062484,4038395.712705416
dsa-0147,-2034387.156564718,-4484517.12894149,4042652.3355054627
dsa-0148,-2034526.11028013,-4486267.066325783,4040653.4656275017
dsa-0149,-2036176.4668724146,-4483289.45377668,4043110.056170272
dsa-0150,-2037392.4663462183,-4482995.197287283,4042825.7025051494
dsa-0151,-2035939.906247903,-4484187.115850739,4042238.4282606067
dsa-0152,-2041722.3255616396,-4487761.87428571,4035394.9815995605
dsa-0153,-2037607.8183113523,-4486952.698417548,4038354.747398113
dsa-0154,-2036262.0627322274,-4484249.752649483,4042008.2149738804
dsa-0155,-2038736.0527592243,-4484127.512372625,4040904.6801622836
dsa-0156,-2041465.0566181536,-4488118.814564271,4035129.9474826967
dsa-0157,-2040934.8078944096,-4479856.389703207,4044505.5586725194
dsa-0158,-2038846.4138030482,-4485625.4351176815,4039197.9707415593
dsa-0159,-2038545.1045132638,-4486257.943273852,4038650.2434772626
dsa-0160,-2037167.9423111805,-4487005.9082013145,4038516.300735667
dsa-0161,-2036557.9624561206,-4482813.567274282,4043443.730896393
dsa-0162,-2036182.9472751555,-4487375.775867404,4038601.6443409356
dsa-0163,-2038332.7126882607,-4483253.014345559,4042070.7396278307
dsa-0164,-2034704.7476228762,-4486790.6069065,4039986.830456612
dsa-0165,-2037307.1486801524,-4482884.417566654,4042990.5500419275
dsa-0166,-2039470.0464576865,-4484556.946989776,4040063.7662189803
dsa-0167,-2034961.5674029177,-4483534.780461052,4043447.804214358
dsa-0168,-2039133.6977300914,-4484856.199454377,4039902.2283350206
dsa-0169,-2035078.6062504295,-4483451.314493936,4043481.231708239
dsa-0170,-2039232.0588034089,-4484417.088586642,4040337.1048442097
dsa-0171,-2039050.6517234577,-4485035.681248803,4039745.925464309
dsa-0172,-2038531.776166732,-4486503.862317265,4038387.0237584068
dsa-0173,-2036036.180278237,-4483024.1978836255,4043472.7329297606
dsa-0174,-2034261.8502521822,-4484617.596207341,4042604.3030685117
dsa-0175,-2038702.5242301172,-4483586.438647284,4041517.9991392684
dsa-0176,-2035524.4945351747,-4487305.905917452,4039008.320058344
dsa-0177,-2037992.9192409825,-4482986.704583459,4042534.458285952
dsa-0178,-2035910.851095566,-4482910.036988828,4043661.339353532
dsa-0179,-2034452.6588352297,-4483589.784232237,4043640.1377327447
dsa-0180,-2035685.3078804987,-4483024.1284525655,4043648.4682961223
dsa-0181,-2038234.7727085515,-4483068.919825519,4042322.735849881
dsa-0182,-2035457.304194577,-4487192.1051549725,4039167.4231277793
dsa-0183,-2036909.207981589,-4487422.225428748,4038186.8425814426
dsa-0184,-2036799.0581229017,-4482872.96978958,4043257.538858324
dsa-0185,-2038600.2475521765,-4486366.6580618145,4038504.01222701
dsa-0186,-2039043.9641882866,-4483984.9295950355,4040907.7265075883
dsa-0187,-2034422.9232880934,-4486710.216004808,4040216.5523527088
dsa-0188,-2038938.0995933067,-4485896.450591345,4038853.2752860566
dsa-0189,-2037922.8176389022,-4481975.849342744,4043681.6579243927
dsa-0190,-2037962.5070951448,-4486968.633375242,4038159.609684258
dsa-0191,-2038170.737523569,-4486804.950931516,4038235.822143541
dsa-0192,-2034158.3120617748,-4484044.460441873,4043288.019674459
dsa-0193,-2034592.2752740295,-4479365.6678630775,4048217.9341851976
dsa-0194,-2033956.3830022896,-4486402.5859294,4040789.280467049
dsa-0195,-2037711.9140287926,-4482915.687794697,4042753.4351474736
dsa-0196,-2038708.8133527744,-4486352.335576235,4038465.450975694
dsa-0197,-2038489.9909987955,-4482982.395231799,4042290.358084875
dsa-0198,-2037433.5992801704,-4487194.3554856125,4038175.540686888
dsa-0199,-2034703.9375722513,-4483390.072716928,4043736.3227856234
dsa-0200,-2035181.6328254077,-4487274.705015174,4039214.3674254343
dsa-0201,-2039410.1812044657,-4484201.040539949,4040486.123464067
dsa-0202,-2035778.2621327497,-4487519.194353726,4038646.1248844657
dsa-0203,-2042227.6710205958,-4485230.77150375,4037935.3922722065
dsa-0204,-2036932.8891381256,-4482619.517397421,4043469.969540058
dsa-0205,-2039398.0523837372,-4484926.818733079,4039692.025571725
dsa-0206,-2035192.85168518,-4487477.449392149,4038985.2253302857
dsa-0207,-2034612.9398845024,-4483740.111200148,4043395.9621592658
dsa-0208,-2035502.982602184,-4482968.452234167,4043801.1296116402
dsa-0209,-2036789.0950942435,-4482683.022903167,4043471.9430158846
dsa-0210,-2038060.8126796284,-4487391.306696037,4037644.397451162
dsa-0211,-2038360.5626079396,-4482884.251837192,4042463.357429771
dsa-0212,-2036603.1619946961,-4487763.423513804,4037963.889080819
dsa-0213,-2036430.947061085,-4481047.4646630185,4045449.8541994984
dsa-0214,-2039347.143582542,-4485676.605897302,4038890.8723991294
dsa-0215,-2039241.650059608,-4486122.0377161205,4038452.5977955437
dsa-0216,-2033594.7662688335,-4484853.070219349,4042678.658359287
dsa-0217,-2033830.7169454822,-4486542.474058994,4040697.9666531775
dsa-0218,-2040583.818192645,-4486194.775237207,4037697.1467396836
dsa-0219,-2033193.0802461796,-4482580.604759157,4045380.416119452
dsa-0220,-2033975.8287479968,-4484249.301553436,4043153.539916734
dsa-0221,-2038769.53489563,-4486746.4338756455,4038000.558552525
dsa-0222,-2039740.9672989794,-4484890.932997096,4039559.914544323
dsa-0223,-2033618.6633443967,-4484648.983408174,4042891.700239437
dsa-0224,-2036136.5761645965,-4482350.362998445,4044165.373821924
dsa-0225,-2037624.2119220821,-4487745.972541076,4037471.955972765
dsa-0226,-2038987.168215324,-4483210.148468228,4041790.3562311754
dsa-0227,-2037473.3203639616,-4482495.85325863,4043335.7506716694
dsa-0228,-2034866.6346179224,-4483213.809625792,4043849.200981879
dsa-0229,-2039459.1760219142,-4483937.478255001,4040752.1722215386
dsa-0230,-2038189.6749104569,-4482892.02468004,4042540.3401481835
dsa-0231,-2035629.5608861116,-4482724.113628609,4044007.1433167458
dsa-0232,-2038071.0371525718,-4482590.551090879,4042932.1087408923
dsa-0233,-2039800.267748585,-4485449.005839262,4038914.9517399175
dsa-0234,-2038991.1360019436,-4483363.072425975,4041619.7712538657
dsa-0235,-2039681.5633477997,-4484868.923798823,4039613.919337392
dsa-0236,-2037283.1126509774,-4482367.115099736,4043572.9089488406
dsa-0237,-2039175.2925342484,-4483594.999278949,4041271.8769365065
dsa-0238,-2034320.5848486093,-4483586.84927391,4043711.296345783
dsa-0239,-2037897.6911396561,-4483877.104504522,4041600.027965103
dsa-0240,-2036062.4536648265,-4482544.170071957,4043988.8099249196
dsa-0241,-2035989.2521688263,-4489189.453369228,4036694.7468264764
dsa-0242,-2041618.297471325,-4479564.360944565,4044484.195109401
dsa-0243,-2034051.3512646419,-4486787.554595437,4040317.3083704514
dsa-0244,-2035640.168920175,-4482726.712907503,4043998.966865847
dsa-0245,-2035261.73365559,-4482984.5356504265,4043904.1751951445
dsa-0246,-2041156.9472769524,-4482236.4142068075,4041774.0215691803
dsa-0247,-2037035.6780379545,-4482347.334200033,4043718.59167584
dsa-0248,-2036685.2746612206,-4482266.065076477,4043983.6148436544
dsa-0249,-2035868.9532628555,-4487846.532074488,4038239.8321483815
dsa-0250,-2033366.1547249102,-4485669.534478211,4041892.9578514174
dsa-0251,-2036477.0486813511,-4487843.456821708,4037938.7890819837
dsa-0252,-2039562.2744058857,-4485841.964442571,4038600.862800906
dsa-0253,-2037765.0261448515,-4487518.100397033,4037652.6884127134
dsa-0254,-2039655.0242336122,-4483859.405518884,4040740.198996989
dsa-0255,-2038721.7845350523,-4478770.877597209,4046807.727297747
dsa-0256,-2042474.2521292467,-4482025.073841712,4041345.7767539932
dsa-0257,-2039630.382479121,-4485357.057166196,4039101.3755164244
dsa-0258,-2039752.4518502718,-4484509.882798598,4039974.272584461
dsa-0259,-2036156.6897310633,-4482363.96089344,4044140.312606516
dsa-0260,-2037336.3883100336,-4487953.390854409,4037387.371836651
dsa-0261,-2033537.3178868713,-4484882.975385525,4042674.4485730706
dsa-0262,-2035078.2797084844,-4487592.7212261325,4038915.4968877565
dsa-0263,-2033605.172361429,-4484529.622434976,4043030.0496879485
dsa-0264,-2039297.6604183516,-4483001.925243207,4041864.4791037687
dsa-0265,-2039924.577831517,-4484845.724758235,4039517.834836451
dsa-0266,-2040908.261332283,-4478901.640887512,4045569.0536115975
dsa-0267,-2036814.3335165912,-4488000.163059995,4037597.164137103
dsa-0268,-2039733.5065777453,-4487526.21438551,4036654.1304571526
dsa-0269,-2039753.6946916087,-4483642.163580092,4040930.3102639373
dsa-0270,-2039245.208792435,-4483130.457413536,4041749.0315596163
dsa-0271,-2034477.3568848686,-4487594.477202408,4039214.4036073927
dsa-0272,-2039828.6139123745,-4485725.653579861,4038595.7567143356
dsa-0273,-2038503.5280444613,-4487241.176169407,4037588.277687379
dsa-0274,-2040251.0017233966,-4484542.007551583,4039689.263810611
dsa-0275,-2037641.6197641303,-4482147.363081327,4043635.7043895153
dsa-0276,-2033506.4599492708,-4485028.250408401,4042529.7314997762
dsa-0277,-2037470.0836054138,-4482410.826920625,4043431.112588372
dsa-0278,-2035997.3284782371,-4488259.5812600795,4037720.1766243703
dsa-0279,-2033814.9111872097,-4486827.152627735,4040392.0216189823
dsa-0280,-2038888.474043956,-4482690.278202922,4042412.92257401
dsa-0281,-2039301.0943800735,-4486385.752539173,4038132.0924940207
dsa-0282,-2034479.0827083124,-4487508.695187549,4039308.1142177177
dsa-0283,-2040708.4746911582,-4484300.051905481,4039724.7120440067
dsa-0284,-2033791.5916205107,-4483859.959901437,4043675.0242990227
dsa-0285,-2039166.6906108046,-4486826.464107371,4037713.4954297543
dsa-0286,-2040084.343666138,-4483737.100199261,4040660.108425647
dsa-0287,-2037942.8985941908,-4487604.751214207,4037468.1068613655
dsa-0288,-2035160.6995310825,-4487990.096022402,4038436.129221987
dsa-0289,-2036680.200137239,-4481996.099735114,4044283.7919431324
dsa-0290,-2040066.7581548872,-4485421.135558612,4038812.2644220046
dsa-0291,-2033332.2661712666,-4482258.676081491,4045665.238239929
dsa-0292,-2037998.134923009,-4482179.431001865,4043421.8657480115
dsa-0293,-2035028.4438482912,-4482638.342637776,4044402.645692495
dsa-0294,-2038375.7423394686,-4482217.145031817,4043189.1998199867
dsa-0295,-2037544.6196528878,-4487745.9686475275,4037511.806899308
dsa-0296,-2044002.746326059,-4482038.8097116705,4040562.95935747
dsa-0297,-2039519.196620127,-4485841.200160345,4038621.5471533174
dsa-0298,-2037439.6903773274,-4480215.865646776,4045860.2101023854
dsa-0299,-2030653.5940848764,-4485992.182802603,4042890.2423812957
dsa-0300,-2035326.298475655,-4488157.1131334435,4038169.0884221797
dsa-0301,-2039244.2230975346,-4486962.171107327,4037525.0631124773
dsa-0302,-2038611.394391142,-4482408.02875709,4042862.8180357763
dsa-0303,-2040191.9602402293,-4485142.736085906,4039056.51918402
dsa-0304,-2033570.472038838,-4487291.1406989,4040002.8497291976
dsa-0305,-2036337.963111476,-4488231.567214412,4037580.5286511644
dsa-0306,-2036827.0280897035,-4488105.389603194,4037474.7965989416
dsa-0307,-2037660.0872132971,-4487997.584964026,4037176.5930282758
dsa-0308,-2039828.2641094094,-4483141.069623023,4041445.4340128214
dsa-0309,-2040298.287188053,-4483673.021105938,4040623.6480826493
dsa-0310,-2039769.062841565,-4483311.290691832,4041287.403587948
dsa-0311,-2035890.7300345046,-4482320.899172068,4044320.9367201296
dsa-0312,-2039874.504641057,-4482967.327436353,4041613.83505927
dsa-0313,-2039942.464400452,-4485714.273129794,4038551.306173988
dsa-0314,-2030066.4006805315,-4488193.150297235,4040756.152324131
dsa-0315,-2040265.1317794803,-4484385.1205819165,4039855.1576020704
dsa-0316,-2040306.5903156498,-4483951.988684685,4040311.929671882
dsa-0317,-2034385.5073738655,-4488159.640863161,4038637.2940611746
dsa-0318,-2038816.9558986882,-4487315.478024718,4037349.4471496902
dsa-0319,-2035036.210672925,-4485640.378781436,4041088.657256261
dsa-0320,-2033877.9149521377,-4483178.704301536,4044382.891730517
dsa-0321,-2035925.182677647,-4488288.846596679,4037724.030284317
dsa-0322,-2039045.2754921324,-4487173.49715179,4037391.6763123325
dsa-0323,-2040121.909176165,-4486008.540628044,4038137.0402024933
dsa-0324,-2038684.937002133,-4482425.781909433,4042804.583352644
dsa-0325,-2034094.868268501,-4487503.573622053,4039506.1117348266
dsa-0326,-2036771.1784360248,-4481838.82651711,4044411.638693491
dsa-0327,-2033347.2627999727,-4486904.659535394,4040540.691207259
dsa-0328,-2039809.2660464419,-4486338.240988628,4037930.0656929533
dsa-0329,-2032968.5180294763,-4484031.617231278,4043894.9188728444
dsa-0330,-2037087.1795880639,-4488215.158959929,4037223.5351438574
dsa-0331,-2034270.3935191028,-4482683.273883093,4044732.6151516372
dsa-0332,-2034607.3896383054,-4482593.39615224,4044662.993417722
dsa-0333,-2034971.4141320323,-4482228.823616065,4044882.691196562
dsa-0334,-2032995.7545551867,-4484765.459591356,4043075.134935978
dsa-0335,-2032968.9381215076,-4485052.028335534,4042772.6183082634
dsa-0336,-2033301.6647592392,-4484337.227683742,4043394.111148407
dsa-0337,-2036201.866692089,-4481691.7956093345,4044858.7572622523
dsa-0338,-2039443.9332606478,-4482539.988448005,4042300.5349002182
dsa-0339,-2037719.154620011,-4481858.581314428,4043915.269482701
dsa-0340,-2041474.9091376755,-4488484.562683315,4034720.8741257014
dsa-0341,-2033291.572848407,-4483937.350405271,4043840.027953077
dsa-0342,-2036744.481697727,-4488492.775863922,4037089.029061518
dsa-0343,-2039687.908638121,-4482728.545762368,4041970.5080955513
dsa-0344,-2035500.6107875637,-4482208.7322343,4044639.907842372
dsa-0345,-2032826.0912319822,-4483501.648797824,4044549.668451106
dsa-0346,-2037033.963379442,-4481791.204278076,4044332.5829796493
dsa-0347,-2039011.0769487268,-4487247.880706216,4037326.7894605272
dsa-0348,-2035357.8791429945,-4488229.11643298,4038073.8944592397
dsa-0349,-2040502.2557398446,-4484527.789808421,4039579.152440803
dsa-0350,-2037671.7061610913,-4481538.968776608,4044288.2819221457
dsa-0351,-2039656.5720170632,-4486373.9776683375,4037967.1099214596
dsa-0352,-2040102.0488704043,-4483711.034893435,4040679.981573162
dsa-0353,-2035870.86170817,-4481977.933343629,4044709.003097837
dsa-0354,-2037647.779269366,-4481728.340426323,4044094.592940532
dsa-0355,-2036147.202094583,-4488620.970824417,4037246.712959383
dsa-0356,-2032830.6977275393,-4485415.585537235,4042441.0046307733
dsa-0357,-2034939.1947038423,-4488079.687521647,4038448.24760374
dsa-0358,-2037946.6929706077,-4488080.500888752,4036941.6935509257
dsa-0359,-2037974.619377909,-4486590.797787792,4038568.948776196
dsa-0360,-2041987.7367320966,-4480799.242517589,4042939.886024178
dsa-0361,-2037415.8307059184,-4488360.42674907,4036898.843418484
dsa-0362,-2040079.1264560812,-4483087.507741077,4041378.8956144913
dsa-0363,-2035151.7206381443,-4482325.416268612,4044685.9302052795
dsa-0364,-2036400.0748524987,-4481668.252581877,4044785.4835967654
dsa-0365,-2040291.1309443656,-4483878.876907418,4040400.2748542307
dsa-0366,-2040200.7298251987,-4486163.506957278,4037926.72958843
dsa-0367,-2040277.1309455025,-4483159.524422239,4041200.3693955084
dsa-0368,-2033155.0672163863,-4486758.0885994155,4040798.5053064227
dsa-0369,-2037162.6712457545,-4488428.872818187,4036950.122024096
dsa-0370,-2039701.7769183933,-4482749.941761786,4041939.9760805317
dsa-0371,-2037882.5957922435,-4482510.472878704,4043113.1123758913
dsa-0372,-2036894.037759105,-4481512.782299981,4044709.594623605
dsa-0373,-2040482.0058736287,-4485593.126985218,4038414.7566594267
dsa-0374,-2034253.1920532198,-4482864.082628477,4044541.8852712386
dsa-0375,-2039348.6564086732,-4482379.082473528,4042525.6325119203
dsa-0376,-2040437.8528489287,-4483547.98563042,4040691.628233824
dsa-0377,-2032875.7884122909,-4484607.929756195,4043308.8706664224
dsa-0378,-2040755.2116900927,-4484587.422284639,4039386.769204179
dsa-0379,-2033104.9307781605,-4486703.487861908,4040883.802614369
dsa-0380,-2032835.1849786255,-4484423.582343636,4043532.441050683
dsa-0381,-2035100.9564728155,-4488741.362873818,4037637.76742885
dsa-0382,-2039768.056974935,-4487153.992993583,4037051.330306157
dsa-0383,-2034961.9907573631,-4481927.058732231,4045220.1044560503
dsa-0384,-2034242.7203788764,-4488197.125252649,4038667.451637797
dsa-0385,-2037259.3356837165,-4481567.892433669,4044465.9550013887
dsa-0386,-2038792.796416324,-4487755.047748894,4036876.916877029
dsa-0387,-2032724.4834406185,-4485886.295623279,4041975.2215928873
dsa-0388,-2039462.1215428654,-4487190.286511736,4037164.4785498297
dsa-0389,-2032774.94725275,-4486596.837186943,4041166.586044985
dsa-0390,-2036915.897074806,-4481668.54263262,4044526.9254285037
dsa-0391,-2032656.6892733586,-4485200.816284831,4042764.9022266106
dsa-0392,-2034030.4888070482,-4482556.541245792,4044992.442373566
dsa-0393,-2038222.0082456777,-4487700.048267656,4037220.502205638
dsa-0394,-2039032.8537788433,-4481824.375337407,4043295.298461898
dsa-0395,-2036438.8350296097,-4488557.478908797,4037170.7112547867
dsa-0396,-2033512.3708030276,-4487632.148023026,4039655.9768520715
dsa-0397,-2039111.417099753,-4487743.008172585,4036730.678003684
dsa-0398,-2039956.650255577,-4486707.403270687,4037449.2788946745
dsa-0399,-2040150.7823155844,-4486468.52450387,4037615.4533818
dsa-0400,-2033526.0672152299,-4487999.352835739,4039244.2768825484
dsa-0401,-2035769.6923729887,-4488625.2187126605,4037431.0240465943
dsa-0402,-2037422.6627935886,-4488398.52160476,4036853.4234855953
dsa-0403,-2038420.637677237,-4488195.596700034,4036577.527432479
dsa-0404,-2037924.5427724738,-4481351.457837933,4044371.548404374
dsa-0405,-2032806.6913373382,-4483994.667928132,4044019.5838212054
